src_ip,dst_ip,server_port,prot,p_count,b_count,max_size,min_size,abyte_count,sbyte_count,Unnamed: 10
17.248.184.24,192.168.128.46,443,6,0.000374155,2.96E-05,0.008219178,0.082648402,0.022121929,0.053018915,AppleiCloud
192.168.121.31,17.248.137.182,443,6,0.000129515,7.94E-06,0,0.038242009,0.015594048,0.031746439,AppleiCloud
17.248.137.182,192.168.121.31,443,6,0.000100734,4.65E-06,0.008219178,0.037785388,0.010560139,0.027631551,AppleiCloud
192.168.127.45,17.248.184.84,443,6,0.000172687,2.01E-05,0.008219178,0.055555556,0.03376303,0.061417667,AppleiCloud
17.248.184.84,192.168.127.45,443,6,0.000158296,3.05E-05,0.008219178,0.055098935,0.058597454,0.073162883,AppleiCloud
192.168.125.40,17.248.184.107,443,6,7.20E-05,5.75E-06,0.008219178,0.046917808,0.020707794,0.040381157,AppleiCloud
17.248.184.107,192.168.125.40,443,6,8.63E-05,1.91E-05,0.008219178,0.055555556,0.065454988,0.072525117,AppleiCloud
192.168.122.90,17.248.137.108,443,6,0.00012232,6.45E-06,0.008219178,0.036605784,0.012777327,0.028923264,AppleiCloud
17.248.137.108,192.168.122.90,443,6,0.000107929,2.65E-05,0.008219178,0.055098935,0.074202719,0.07493155,AppleiCloud
192.168.125.40,17.248.137.112,443,6,8.63E-05,5.40E-06,0.008219178,0.047526636,0.015561894,0.036934545,AppleiCloud
17.248.137.112,192.168.125.40,443,6,8.63E-05,1.91E-05,0.008219178,0.109741248,0.065522869,0.113277715,AppleiCloud
192.168.125.40,17.248.184.107,443,6,8.63E-05,5.41E-06,0.008219178,0.046917808,0.015629775,0.036375761,AppleiCloud
17.248.184.107,192.168.125.40,443,6,7.91E-05,1.95E-05,0.008219178,0.055098935,0.073014612,0.075018628,AppleiCloud
192.168.125.40,17.248.137.112,443,6,8.63E-05,6.66E-06,0.008219178,0.047526636,0.020160883,0.037735152,AppleiCloud
17.248.137.112,192.168.125.40,443,6,4.32E-05,2.91E-06,0.008219178,0.028652968,0.015852815,0.029189136,AppleiCloud
192.168.127.11,17.248.184.9,443,6,0.000194273,1.36E-05,0,0.043302892,0.01880749,0.031710977,AppleiCloud
17.248.184.9,192.168.127.11,443,6,0.000165491,1.05E-05,0.008219178,0.05087519,0.016514006,0.034782806,AppleiCloud
192.168.128.12,17.248.184.49,443,6,0.000187077,1.50E-05,0,0.055555556,0.02204523,0.045436998,AppleiCloud
17.248.184.49,192.168.128.12,443,6,0.00012232,2.38E-05,0.008219178,0.068455099,0.058291576,0.08130704,AppleiCloud
192.168.122.94,17.248.184.56,443,6,0.000158296,7.03E-06,0,0.037899543,0.010244243,0.02407562,AppleiCloud
17.248.184.56,192.168.122.94,443,6,0.000143906,2.12E-05,0.008219178,0.109741248,0.043456045,0.086451958,AppleiCloud
192.168.125.221,17.248.137.213,443,6,0.000107929,6.79E-06,0.008219178,0.033561644,0.015953274,0.032015614,AppleiCloud
17.248.137.213,192.168.125.221,443,6,8.63E-05,1.35E-05,0.008219178,0.055175038,0.044903785,0.068826253,AppleiCloud
192.168.121.24,17.248.137.37,443,6,0.000115124,7.26E-06,0.008219178,0.046461187,0.016046549,0.034933715,AppleiCloud
17.248.137.37,192.168.121.24,443,6,0.000100734,2.39E-05,0.008219178,0.055098935,0.071266232,0.07799225,AppleiCloud
192.168.127.45,17.248.184.72,443,6,0.000237444,9.62E-06,0.008219178,0.04630898,0.009106887,0.026566788,AppleiCloud
17.248.184.72,192.168.127.45,443,6,0.000215858,8.61E-05,0.008219178,0.109741248,0.127124472,0.07566217,AppleiCloud
192.168.122.70,17.248.184.20,443,6,0.00012232,6.86E-06,0.008219178,0.040334855,0.013868149,0.028680281,AppleiCloud
17.248.184.20,192.168.122.70,443,6,0.00012232,1.96E-05,0.008219178,0.109741248,0.047230149,0.092150057,AppleiCloud
192.168.128.199,17.248.137.114,443,6,0.000201468,1.07E-05,0,0.040905632,0.013149458,0.028276168,AppleiCloud
17.248.137.114,192.168.128.199,443,6,0.000172687,2.96E-05,0.008219178,0.055098935,0.051782922,0.071437838,AppleiCloud
192.168.127.68,17.248.137.210,443,6,0.000179882,1.32E-05,0,0.054223744,0.01974935,0.044080046,AppleiCloud
17.248.137.210,192.168.127.68,443,6,0.000165491,2.30E-05,0.008219178,0.061073059,0.04113564,0.069649775,AppleiCloud
192.168.128.25,17.248.184.21,443,6,0.00013671,8.46E-06,0,0.043378995,0.015829178,0.034696926,AppleiCloud
17.248.184.21,192.168.128.25,443,6,0.000143906,2.11E-05,0.008219178,0.061073059,0.043445539,0.0703453,AppleiCloud
192.168.122.104,17.248.184.25,443,6,0.000115124,6.00E-06,0.008219178,0.045738204,0.012542653,0.031993896,AppleiCloud
17.248.184.25,192.168.122.104,443,6,0.000100734,2.49E-05,0.008219178,0.055098935,0.074296021,0.076126864,AppleiCloud
192.168.121.32,17.248.184.54,443,6,0.000151101,1.07E-05,0,0.041971081,0.018842588,0.03527483,AppleiCloud
17.248.184.54,192.168.121.32,443,6,0.000115124,6.03E-06,0.008219178,0.036605784,0.012620517,0.028263375,AppleiCloud
192.168.121.75,17.248.184.79,443,6,0.000165491,1.05E-05,0,0.038242009,0.016500218,0.031946444,AppleiCloud
17.248.184.79,192.168.121.75,443,6,0.00012232,6.45E-06,0.008219178,0.039269406,0.012795712,0.029051142,AppleiCloud
192.168.127.68,17.248.184.51,443,6,0.000208663,2.75E-05,0.008219178,0.055555556,0.039030598,0.066130757,AppleiCloud
17.248.184.51,192.168.127.68,443,6,0.000194273,3.55E-05,0.008219178,0.109741248,0.055685772,0.082612418,AppleiCloud
192.168.127.11,17.248.184.81,443,6,0.000172687,1.21E-05,0,0.055555556,0.018725862,0.04024753,AppleiCloud
17.248.184.81,192.168.127.11,443,6,0.000151101,8.93E-06,0.008219178,0.072640791,0.014986827,0.045799694,AppleiCloud
192.168.128.199,17.248.137.213,443,6,0.000129515,7.54E-06,0,0.043302892,0.014589666,0.0314365,AppleiCloud
17.248.137.213,192.168.128.199,443,6,0.000107929,3.90E-06,0.008219178,0.023554033,0.007404415,0.016754732,AppleiCloud
192.168.128.3,17.248.184.81,443,6,0.00012232,7.03E-06,0,0.038622527,0.014315509,0.029126441,AppleiCloud
17.248.184.81,192.168.128.3,443,6,0.000100734,3.50E-06,0.008219178,0.020091324,0.00691998,0.014800378,AppleiCloud
192.168.121.75,17.248.137.200,443,6,0.000151101,1.03E-05,0,0.038280061,0.018015279,0.032956571,AppleiCloud
17.248.137.200,192.168.121.75,443,6,0.000107929,5.97E-06,0.008219178,0.036415525,0.013505819,0.028793218,AppleiCloud
192.168.128.199,17.248.137.232,443,6,0.00064038,3.16E-05,0,0.040905632,0.012244173,0.024648372,AppleiCloud
17.248.137.232,192.168.128.199,443,6,0.000625989,0.000158264,0.008219178,0.078538813,0.080725298,0.083586824,AppleiCloud
192.168.121.3,17.248.184.20,443,6,0.000143906,1.02E-05,0.008219178,0.055555556,0.018678798,0.039138859,AppleiCloud
17.248.184.20,192.168.121.3,443,6,0.00012232,2.89E-05,0.008219178,0.104528158,0.071718494,0.094963045,AppleiCloud
192.168.127.11,17.248.184.9,443,6,0.00012232,6.24E-06,0,0.024048706,0.012231916,0.022358356,AppleiCloud
17.248.184.9,192.168.127.11,443,6,7.91E-05,5.73E-06,0.008219178,0.034855403,0.018540913,0.034066335,AppleiCloud
192.168.121.32,17.248.137.210,443,6,0.000143906,1.06E-05,0,0.042085236,0.019613788,0.035955837,AppleiCloud
17.248.137.210,192.168.121.32,443,6,0.00013671,6.39E-06,0.008219178,0.036453577,0.010914963,0.026325817,AppleiCloud
192.168.125.198,17.248.184.50,443,6,0.000165491,1.37E-05,0.008219178,0.047526636,0.022824535,0.044037005,AppleiCloud
17.248.184.50,192.168.125.198,443,6,0.000151101,2.28E-05,0.008219178,0.109741248,0.044910341,0.082713015,AppleiCloud
192.168.128.3,17.248.137.86,443,6,0.000100734,4.66E-06,0,0.025076104,0.010567493,0.02256304,AppleiCloud
17.248.137.86,192.168.128.3,443,6,8.63E-05,2.83E-05,0.008219178,0.104490107,0.098784932,0.098352694,AppleiCloud
192.168.127.8,17.248.137.204,443,6,0.000172687,1.19E-05,0,0.055555556,0.018231683,0.040973471,AppleiCloud
17.248.137.204,192.168.127.8,443,6,0.000165491,2.30E-05,0.008219178,0.061073059,0.041098871,0.069636708,AppleiCloud
192.168.121.104,17.248.137.104,443,6,0.000115124,7.78E-06,0.008219178,0.041590563,0.017493529,0.03404573,AppleiCloud
17.248.137.104,192.168.121.104,443,6,0.000107929,4.07E-06,0.008219178,0.020966514,0.007887012,0.015110874,AppleiCloud
192.168.125.40,17.248.184.107,443,6,6.48E-05,5.93E-06,0.008219178,0.046917808,0.024102268,0.041165567,AppleiCloud
17.248.184.107,192.168.125.40,443,6,0.000107929,2.62E-05,0.008219178,0.101331811,0.073313362,0.106405985,AppleiCloud
192.168.125.40,17.248.137.112,443,6,7.91E-05,6.27E-06,0.008219178,0.047526636,0.020664339,0.039488048,AppleiCloud
17.248.137.112,192.168.125.40,443,6,5.76E-05,3.17E-06,0.008219178,0.028652968,0.012722173,0.026443084,AppleiCloud
192.168.125.40,17.248.184.107,443,6,7.91E-05,6.03E-06,0.008219178,0.046917808,0.019726722,0.038807511,AppleiCloud
